dataset,ordering_weight,seed,mse,nll_gaussian,effective_k,bypass_fraction,effective_k_nobypass,wall_time_s
heteroscedastic,0.0,42,1.921442,1.442546,7.5896,0.2562,6.9115,52.6
heteroscedastic,0.0,123,1.826449,1.456876,5.9227,0.2518,4.3993,48.4
heteroscedastic,0.0,7,1.620469,1.339483,5.6083,0.0563,5.3068,48.3
heteroscedastic,0.0,2026,1.95401,1.542601,7.0438,0.5904,3.7068,57.7
heteroscedastic,0.0,31,1.687264,1.36193,7.4438,0.3598,6.0243,37.5
heteroscedastic,0.3,42,1.921442,1.442546,7.5896,0.2562,6.9115,51.1
heteroscedastic,0.3,123,1.826449,1.456876,5.9227,0.2518,4.3993,49.5
heteroscedastic,0.3,7,1.620469,1.339483,5.6083,0.0563,5.3068,49.3
heteroscedastic,0.3,2026,1.95401,1.542601,7.0438,0.5904,3.7068,55.8
heteroscedastic,0.3,31,1.687264,1.36193,7.4438,0.3598,6.0243,35.4
heteroscedastic,1.0,42,1.921442,1.442546,7.5896,0.2562,6.9115,48.5
heteroscedastic,1.0,123,1.826449,1.456876,5.9227,0.2518,4.3993,46.3
heteroscedastic,1.0,7,1.620469,1.339483,5.6083,0.0563,5.3068,46.1
heteroscedastic,1.0,2026,1.95401,1.542601,7.0438,0.5904,3.7068,53.5
heteroscedastic,1.0,31,1.687264,1.36193,7.4438,0.3598,6.0243,35.0
heteroscedastic,3.0,42,1.921442,1.442546,7.5896,0.2562,6.9115,48.4
heteroscedastic,3.0,123,1.826449,1.456876,5.9227,0.2518,4.3993,46.1
heteroscedastic,3.0,7,1.620469,1.339483,5.6083,0.0563,5.3068,46.1
heteroscedastic,3.0,2026,1.95401,1.542601,7.0438,0.5904,3.7068,53.5
heteroscedastic,3.0,31,1.687264,1.36193,7.4438,0.3598,6.0243,35.4
bimodal,0.0,42,2.342799,1.847383,7.6129,0.1595,7.2201,15.7
bimodal,0.0,123,2.445624,1.868971,5.8385,0.185,4.8328,9.1
bimodal,0.0,7,2.355667,1.850659,7.8398,0.3226,7.1668,57.4
bimodal,0.0,2026,2.236251,1.822219,6.4768,0.3435,4.9885,17.4
bimodal,0.0,31,2.260148,1.82713,7.1456,0.1598,6.7542,21.3
bimodal,0.3,42,2.342799,1.847383,7.6129,0.1595,7.2201,15.6
bimodal,0.3,123,2.445624,1.868971,5.8385,0.185,4.8328,9.1
bimodal,0.3,7,2.355667,1.850659,7.8398,0.3226,7.1668,57.5
bimodal,0.3,2026,2.236251,1.822219,6.4768,0.3435,4.9885,17.5
bimodal,0.3,31,2.260148,1.82713,7.1456,0.1598,6.7542,21.0
bimodal,1.0,42,2.342799,1.847383,7.6129,0.1595,7.2201,15.6
bimodal,1.0,123,2.445624,1.868971,5.8385,0.185,4.8328,9.1
bimodal,1.0,7,2.355667,1.850659,7.8398,0.3226,7.1668,57.3
bimodal,1.0,2026,2.236251,1.822219,6.4768,0.3435,4.9885,17.3
bimodal,1.0,31,2.260148,1.82713,7.1456,0.1598,6.7542,21.1
bimodal,3.0,42,2.342799,1.847383,7.6129,0.1595,7.2201,15.5
bimodal,3.0,123,2.445624,1.868971,5.8385,0.185,4.8328,9.1
bimodal,3.0,7,2.355667,1.850659,7.8398,0.3226,7.1668,57.2
bimodal,3.0,2026,2.236251,1.822219,6.4768,0.3435,4.9885,17.5
bimodal,3.0,31,2.260148,1.82713,7.1456,0.1598,6.7542,21.1
piecewise,0.0,42,0.287912,0.51828,6.2316,0.1541,5.9346,18.3
piecewise,0.0,123,0.273182,0.39614,6.6228,0.1441,5.7417,69.5
piecewise,0.0,7,0.213515,0.423094,6.7739,0.3764,5.9677,74.6
piecewise,0.0,2026,0.277333,0.377149,7.7882,0.543,5.3956,60.2
piecewise,0.0,31,0.315584,0.583719,5.008,0.0817,4.5895,18.3
piecewise,0.3,42,0.287912,0.51828,6.2316,0.1541,5.9346,18.4
piecewise,0.3,123,0.273182,0.39614,6.6228,0.1441,5.7417,69.1
piecewise,0.3,7,0.213515,0.423094,6.7739,0.3764,5.9677,75.2
piecewise,0.3,2026,0.277333,0.377149,7.7882,0.543,5.3956,60.6
piecewise,0.3,31,0.315584,0.583719,5.008,0.0817,4.5895,18.4
piecewise,1.0,42,0.287912,0.51828,6.2316,0.1541,5.9346,18.4
piecewise,1.0,123,0.273182,0.39614,6.6228,0.1441,5.7417,69.3
piecewise,1.0,7,0.213515,0.423094,6.7739,0.3764,5.9677,74.4
piecewise,1.0,2026,0.277333,0.377149,7.7882,0.543,5.3956,60.4
piecewise,1.0,31,0.315584,0.583719,5.008,0.0817,4.5895,18.3
piecewise,3.0,42,0.287912,0.51828,6.2316,0.1541,5.9346,18.4
piecewise,3.0,123,0.273182,0.39614,6.6228,0.1441,5.7417,69.0
piecewise,3.0,7,0.213515,0.423094,6.7739,0.3764,5.9677,74.4
piecewise,3.0,2026,0.277333,0.377149,7.7882,0.543,5.3956,60.2
piecewise,3.0,31,0.315584,0.583719,5.008,0.0817,4.5895,18.4
exponential,0.0,42,0.361947,0.957801,4.4138,0.172,3.2557,44.0
exponential,0.0,123,0.282932,0.802592,7.7011,0.558,4.8981,59.7
exponential,0.0,7,0.344455,0.907238,5.6859,0.1302,5.0434,47.2
exponential,0.0,2026,0.308715,0.85927,7.7974,0.4909,4.6043,57.5
exponential,0.0,31,0.390129,0.945507,9.8487,0.9611,3.4338,59.6
exponential,0.3,42,0.361947,0.957801,4.4138,0.172,3.2557,44.2
exponential,0.3,123,0.282932,0.802592,7.7011,0.558,4.8981,59.6
exponential,0.3,7,0.344455,0.907238,5.6859,0.1302,5.0434,46.9
exponential,0.3,2026,0.308715,0.85927,7.7974,0.4909,4.6043,57.7
exponential,0.3,31,0.390129,0.945507,9.8487,0.9611,3.4338,59.8
exponential,1.0,42,0.361947,0.957801,4.4138,0.172,3.2557,44.4
exponential,1.0,123,0.282932,0.802592,7.7011,0.558,4.8981,59.8
exponential,1.0,7,0.344455,0.907238,5.6859,0.1302,5.0434,47.3
exponential,1.0,2026,0.308715,0.85927,7.7974,0.4909,4.6043,57.4
exponential,1.0,31,0.390129,0.945507,9.8487,0.9611,3.4338,59.5
exponential,3.0,42,0.361947,0.957801,4.4138,0.172,3.2557,43.9
exponential,3.0,123,0.282932,0.802592,7.7011,0.558,4.8981,59.7
exponential,3.0,7,0.344455,0.907238,5.6859,0.1302,5.0434,47.0
exponential,3.0,2026,0.308715,0.85927,7.7974,0.4909,4.6043,57.4
exponential,3.0,31,0.390129,0.945507,9.8487,0.9611,3.4338,59.8
