# wsel17-cleanup-manifest.tsv -- WSEL-17 Step 5/6 disposition inventory (width strand, THE GRAND CLEANUP).
# Owner: docs/plans/capacity_programme/width.md, "WSEL-17 -- THE GRAND CLEANUP" (Steps 5-7).
#
# WHAT THIS IS. One row per width driver, architecture module, and results-JSON group, each run
# through the spec's four MECHANICAL eligibility checks. DELETE-ELIGIBLE requires ALL FOUR to hold;
# everything else is KEEP or SHIM. This task (Steps 1-6) DELETES NOTHING -- Step 7 (attended,
# root + user sign-off) is the only step authorised to remove a file, and only after reading this
# manifest.
#
# THE FOUR CHECKS (columns 6-9), each run as a command, output recorded in the cell:
#   c1_protected   -- `grep -F <path> docs/plans/capacity_programme/shared/PROTECTED.tsv` (path column only)
#   c2_cited       -- cited by a LIVE plan file. "Live plan file" = the citation gate's OWN walk
#                     (docs/plans/capacity_programme/test_plan_gates.py `_walk_plan_dirs`/`_is_evidence_dir`):
#                     every .md/.tsv under docs/plans/capacity_programme/, EXCLUDING `archive/` and any
#                     `reviews_*/` subdirectory (both are explicitly frozen-record dirs per that function).
#                     Checked via: python3 walk matching that exact predicate, then `grep -l -F <name>`
#                     over the resulting file list (25 files at execution time, 2026-07-22).
#   c3_imported    -- a GENUINE import statement (`grep -rnE '^\s*(import|from)\s+<module>\b'`), not a
#                     bare filename substring match -- a filename appearing in a docstring/comment
#                     ("this replaces X.py") is NOT an import and is called out as such below where it
#                     was the only hit a naive substring grep would have returned.
#   c4_superseded  -- a NAMED on-disk replacement exists (path written in the row); "looks old" alone
#                     never satisfies this.
#
# METHODOLOGY NOTE ON GRANULARITY. Results JSONs are grouped ONE ROW PER PRODUCER/RESULTS-DIRECTORY
# (not one row per of the ~719 individual per-seed/per-cell leaf files under
# automl_package/examples/capacity_ladder_results/{W*,WSEL*}/) wherever every file in that directory
# shares one producer script, one citation pattern, and one disposition -- e.g. WSEL4/ alone holds 145
# leaf JSONs, all current cells of the same ANSWERED task, all KEEP for the same reason. Individual rows
# are given ONLY where a specific file's disposition genuinely differs from its directory-mates (W_MRL's
# two files; the WSEL11 voided-vs-rerun split, which width.md itself already treats as two artifacts).
# This keeps the manifest reviewable; it trades off NOT naming each of the 719 leaves individually. If
# finer granularity is wanted, re-run with each directory's `find <dir> -name '*.json'` expanded.
#
# HEADSTONE FINDING (read before trusting any DELETE-ELIGIBLE row -- there are none in this manifest).
# `docs/plans/capacity_programme/shared/zero-caller-inventory.md` is NOT inside a `reviews_*/`
# directory, so the citation gate's own walk treats it as a live plan file. That document's entire
# purpose is enumerating near-zero-caller candidates BY NAME -- so under the mechanical rule AS
# LITERALLY SPECIFIED, its own act of discussing a file as "maybe dead" is itself a citation that BLOCKS
# check c2 for every file it discusses. This makes check c2 nearly untriggerable for exactly the
# marginal files Step 5 is supposed to catch. Two rows below (independent_width_experiment.py/W_INDEP,
# and w_mrl_summary_run1_partial.json) hit this exactly: checks c1/c3/c4 all independently support
# DELETE-ELIGIBLE, but c2 is blocked ONLY by zero-caller-inventory.md's own self-referential mention.
# Recorded as KEEP (mechanical rule applied literally, all four required) with the near-miss called out
# for the root's judgement at Step 7 -- this task does not override a mechanical check with its own
# discretion (Step 5's own instruction: "ELIGIBILITY IS MECHANICAL, NOT A JUDGEMENT").
#
# COLUMNS (tab-separated): path	kind	verdict	reason	replacement	c1_protected	c2_cited	c3_imported	c4_superseded
#
path	kind	verdict	reason	replacement	c1_protected	c2_cited	c3_imported	c4_superseded
automl_package/models/architectures/nested_width_net.py	architecture-module	SHIM	Pure re-export shim over automl_package/models/flexnn/width/architectures.py (FP-11 move); WSEL-17 Step 2 promotes nothing into it (B_HEADS won WSEL-16, see note below). 10 live plan-doc citations, imported by every width driver.	-	not-protected	CITED (width.md, MASTER.md, flexnn-package.md, +7 more)	IMPORTED (21 files incl. width_wsel4/6/7/8/11/13/15/16.py, tests/*)	no-replacement, not superseded
automl_package/models/flexnn/width/architectures.py	architecture-module	KEEP	Holds the 4 certified classes (NestedWidthNet, IndependentWidthNet, SharedTrunkPerWidthHeadNet, SharedReadoutPerWidthAffineNet). NOT in this task's declared write set (path drift: width.md's own WSEL-17 write-set line still names the pre-FP-11 shim path) -- recorded here read-only, not edited. See Step 3 note below.	-	not-protected	CITED (width.md, flexnn-package.md, flexnn-core.md, MASTER.md, structure.md, probreg.md, +2 more)	IMPORTED (width_wsel4.py, cascade_width_net.py, kdropout_converged_width_experiment.py, +transitively every file that imports the models/architectures shim)	no-replacement, not superseded
automl_package/models/flexnn/width/model.py	architecture-module	KEEP	FlexibleWidthNN, the shipping W-SHARED/W-PERINPUT class (width.md line 55-70). Heavily cited (18 live plan files) and imported.	-	not-protected	CITED (width.md, flexnn-core.md, flexnn-moe.md, width-depth.md, structure.md, +13 more)	IMPORTED (width_wsel4/6/7.py, models/flexnn/strategies/layer.py, tests/test_phase2_flexible_nn.py)	no-replacement, not superseded
automl_package/examples/nested_width_net.py	architecture-module	KEEP	PROTECTED (*). Toy generators (make_hetero/make_hetero3), WidthSchedule, train_nested_width, gaussian_log_likelihood -- example-script protocol every width driver imports.	-	PROTECTED (PROTECTED.tsv: "Holds the certified width architectures... FP-2 MOVES these into the package and leaves a re-export shim; the file itself is never deleted while any driver imports it by bare name.")	CITED (10 live plan files)	IMPORTED (29 files: every width_wsel*.py, converged/hetero/independent/cascade/matryoshka/kdropout drivers, capacity_accounting.py, moe_*.py, depth_toy.py, joint_capacity_toy.py, report_a_benchmark.py, 5 test files)	no-replacement, not superseded
automl_package/examples/matryoshka_width_net.py	architecture-module	SHIM	PROTECTED (*). WSEL-17 Step 1 (this task): reduced to a re-export shim -- MatryoshkaWidthNet = SharedTrunkPerWidthHeadNet (proven equivalent, tests/test_matryoshka_equivalence.py, incl. prove-it-fails). train_matryoshka kept as example-script training protocol (not duplicated architecture). Caller cascade_width_experiment.py verified still resolving (--selftest --arm matryoshka PASS).	SharedTrunkPerWidthHeadNet (automl_package/models/architectures/nested_width_net.py)	PROTECTED (PROTECTED.tsv: "Superseded width architecture (MatryoshkaWidthNet)")	CITED (width.md, flexnn-package.md, zero-caller-inventory.md)	IMPORTED (cascade_width_experiment.py: `import matryoshka_width_net as mwn`, genuine)	SUPERSEDED-AND-SHIMMED this task (see replacement column) -- not a deletion, PROTECTED.tsv rule 2 sanctions a shim over a protected path
automl_package/examples/cascade_width_net.py	architecture-module	KEEP	PROTECTED (*). ResidualCascadeNet -- the already-implemented staged-boosting arm WSEL-16 Stage 2 reuses unchanged (A_CASCADE_STAGED). Live genuine importers.	-	PROTECTED (PROTECTED.tsv: "Superseded width architecture (ResidualCascadeNet)... results sit on disk and deleting the code orphans them from their producer")	CITED (width.md, flexnn-package.md, zero-caller-inventory.md)	IMPORTED (cascade_width_experiment.py, width_wsel16.py: both genuine)	no-replacement, not superseded (still actively reused by WSEL-16 Stage 2)
automl_package/examples/cascade_width_experiment.py	width-driver	KEEP	PROTECTED (*). Driver for the cascade + matryoshka arms; writes W_CASCADE and W_MRL. --selftest re-verified this task (both arms PASS after the matryoshka shim landed).	-	PROTECTED (PROTECTED.tsv: "Driver for both superseded arms; writes RESULTS_DIR_CASCADE and RESULTS_DIR_MATRYOSHKA. Deleting it orphans both artifact directories.")	CITED (flexnn-package.md, zero-caller-inventory.md)	no-importer (it is a __main__ driver, not a library module -- zero importers is expected/normal, not a dead-code signal)	no-replacement, not superseded
automl_package/examples/sinc_width_experiment.py	width-driver	KEEP	PROTECTED (*). Home of RunConfig + the 3 bar functions (_construction_bar/_recovery_bar/_deploy_bar) + selector helpers, reused verbatim by nearly every later width driver. Produces W1.	-	PROTECTED (PROTECTED.tsv: "Produced the certified width selection numbers via its selector machinery, run inside kdropout_converged_width_experiment.py")	CITED (11 live plan files)	IMPORTED (10 files incl. width_wsel4.py, width_wsel16.py, kdropout_converged_width_experiment.py, joint_capacity_toy.py, depth_selection_toy.py, models/flexnn/routing.py)	no-replacement, not superseded
automl_package/examples/hetero_width_experiment.py	width-driver	KEEP	Produces W2. Fixed the toy construction problems W1 had, but itself later shown to fail bar (i) (shared-trunk starvation, per independent_width_experiment.py's own docstring) -- NOT mechanically DELETE-ELIGIBLE: no NAMED on-disk replacement citation exists (converged_width_experiment.py's docstring names only "independent_width_experiment.py and the scratchpad probes", never this file by name).	none named	not-protected	CITED (zero-caller-inventory.md, flexnn-package.md)	IMPORTED (independent_width_experiment.py:53, genuine, reuse of RunConfig/bar-functions) -- but see W_INDEP row: that importer is itself a near-miss delete candidate	FAILS -- no named replacement on record (fails c4; verdict is KEEP regardless of c1-c3)
automl_package/examples/independent_width_experiment.py	width-driver	KEEP (near-miss, see headstone finding)	converged_width_experiment.py's own docstring: "This replaces the fixed-epoch width runs (`independent_width_experiment.py` and the scratchpad probes)" -- an explicit, named, on-disk supersession. c1/c3/c4 all independently support DELETE-ELIGIBLE. BLOCKED SOLELY by c2: zero-caller-inventory.md (not a reviews_*/ dir, so in-scope for the citation gate's walk) discusses this file BY NAME as a candidate -- see manifest header HEADSTONE FINDING. Flagged for the root's Step-7 judgement.	converged_width_experiment.py (automl_package/examples/, W_CONVERGED results)	not-protected	CITED -- ONLY hit is docs/plans/capacity_programme/shared/zero-caller-inventory.md (a prior zero-caller AUDIT discussing this file as a disposal candidate, not a live task depending on it)	no GENUINE import anywhere (the only "importer" a naive substring grep finds is converged_width_experiment.py's own docstring line 3, which is prose, not `import independent_width_experiment`)	SUPERSEDED -- converged_width_experiment.py names it explicitly as replaced
automl_package/examples/converged_width_experiment.py	width-driver	KEEP	W-SWEEP's package-port anchor (W_CONVERGED). w_converged_summary.json is actively READ as ground truth by width_wsel4.py (W_CONVERGED_PATH) and cascade_width_experiment.py (_ANCHOR_PATH). Cited directly in width.md.	-	not-protected	CITED (width.md, width-cert.md, width_transformer_port.md, fp4-schedule-deviation.md, flexnn-package.md, zero-caller-inventory.md, archive/depth_d2_d3_retired.md[excluded dir, informational only])	IMPORTED (width_wsel15.py, kdropout_converged_width_experiment.py, cascade_width_experiment.py, width_wsel4/6/7/8/13/16.py, WSEL14 cost_probe script, WSEL18 bench.py, tests/test_fused_heads_equivalence.py -- 12 genuine importers)	no-replacement, not superseded (it is itself the reference/anchor other drivers verify against)
automl_package/examples/kdropout_converged_width_experiment.py	width-driver	KEEP	The certified driver (kce). Backs G-WIDTH. Heavily imported and cited.	-	not-protected (protection is implicit via sinc_width_experiment.py/nested_width_net.py's PROTECTED rows, which name "run inside kdropout_converged_width_experiment.py")	CITED (width.md, width-cert.md, flexnn-package.md, width_transformer_port.md, fp4-schedule-deviation.md, zero-caller-inventory.md, archive/depth_d2_d3_retired.md[excluded])	IMPORTED (13 genuine importers incl. width_wsel7/13/15/16.py, 3 test files, REVIEW_2026-07-22 scripts, WSEL18 bench.py)	no-replacement, not superseded
automl_package/examples/width_candidates.py	width-driver	KEEP	The ONE home for candidate architectures under test (§3.9 rule). Holds PrefixNormWidthNet (WSEL-15), MonotoneGateWidthNet + weighted_squared_error (WSEL-16). WSEL-17 Step 2: nothing promoted OUT of it this task (B_HEADS won stage 1, see note below) -- stays exactly as WSEL-16 left it.	-	not-protected	CITED (width.md)	IMPORTED (width_wsel6/13/15/16.py, tests/test_prefix_norm_equivalence.py -- 5 genuine importers)	no-replacement, not superseded
automl_package/examples/width_wsel4.py	width-driver	KEEP	Current, live answer to WSEL-4 (DONE 2026-07-22, root-verified both halves). Cited in width.md.	-	not-protected	CITED (width.md)	IMPORTED (width_wsel6.py, width_wsel8.py)	no-replacement, not superseded -- IS the current record
automl_package/examples/width_wsel6.py	width-driver	KEEP	Current, live answer to WSEL-6 (ANSWERED 2026-07-22). Cited in width.md and MASTER.md.	-	not-protected	CITED (width.md, MASTER.md)	IMPORTED (width_wsel8.py)	no-replacement, not superseded -- IS the current record
automl_package/examples/width_wsel7.py	width-driver	KEEP	Current, live answer to WSEL-7 (ANSWERED 2026-07-22, noise caveat pending user review). Cited in width.md.	-	not-protected	CITED (width.md)	IMPORTED (width_wsel8.py)	no-replacement, not superseded -- IS the current record
automl_package/examples/width_wsel8.py	width-driver	KEEP	Current, live answer to WSEL-8 (ANSWERED 2026-07-22, BOTH HALVES FAIL -- a FAIL is a finding, not a bug). Cited in width.md.	-	not-protected	CITED (width.md)	no genuine importer found (leaf task, nothing built on top of it yet)	no-replacement, not superseded -- IS the current record
automl_package/examples/width_wsel11.py	width-driver	KEEP	Current, live answer to WSEL-11 (RE-RUN COMPLETE 2026-07-21 at the corrected objective). Cited in width.md; its own voided-first-run is explicitly "retained as case law" by width.md's own text.	-	not-protected	CITED (width.md)	no genuine importer found (leaf task)	no-replacement, not superseded -- IS the current record
automl_package/examples/width_wsel13.py	width-driver	KEEP	Current, live answer to WSEL-13 (ANSWERED 2026-07-21: ordering_holds=false, a FAIL is a finding). Cited in width.md and shared/width_transformer_port.md.	-	not-protected	CITED (width.md, width_transformer_port.md)	IMPORTED (width_wsel7.py, width_wsel16.py)	no-replacement, not superseded -- IS the current record
automl_package/examples/width_wsel15.py	width-driver	KEEP	Current, live answer to WSEL-15. Cited in width.md.	-	not-protected	CITED (width.md)	IMPORTED (tests/test_prefix_norm_equivalence.py)	no-replacement, not superseded -- IS the current record
automl_package/examples/width_wsel16.py	width-driver	KEEP	WSEL-17's own gating dependency (this task is downstream of it: B_HEADS won, see note below). Cited in width.md and fp4-schedule-deviation.md.	-	not-protected	CITED (width.md, fp4-schedule-deviation.md)	IMPORTED (tests/test_stopgrad_width_loss.py, REVIEW_2026-07-22 scripts)	no-replacement, not superseded -- IS the current record
automl_package/examples/capacity_ladder_results/W1	results-dir (1 json)	KEEP	sinc_width_experiment.py's own run. Not superseded by a named replacement (W2 fixed a different toy-construction problem, not the same architecture/toy).	-	not-protected (dir not listed in PROTECTED.tsv path column; producer sinc_width_experiment.py IS protected)	CITED (PROTECTED.tsv mentions W1's PREREGISTRATION.md as citing capacity_ladder_k6.py's router symbols; structure.md, probreg.md, width-cert.md, zero-caller-inventory.md also match "W1" as a substring -- verify at execution time, "W1" is a short token)	n/a (data file)	no-replacement, not superseded
automl_package/examples/capacity_ladder_results/W2	results-dir (1 json)	KEEP	hetero_width_experiment.py's own run. Fails c4 -- see hetero_width_experiment.py row above.	none named	not-protected	CITED (PROTECTED.tsv, width-cert.md, zero-caller-inventory.md, probreg.md -- "W2" substring, verify at execution time)	n/a (data file)	FAILS -- no named replacement on record
automl_package/examples/capacity_ladder_results/W_CASCADE/w_cascade_summary.json	results-file	KEEP	Gate evidence: cited by name in docs/width_dial_synthesis_2026-07-13/per_input_width_architecture_readthrough.md as "Frozen residual cascade (final, beta-NLL)". PROTECTED via producer (cascade_width_net.py *, cascade_width_experiment.py *).	-	PROTECTED (producer scripts' PROTECTED.tsv rows both cite "results sit on disk")	CITED (flexnn-package.md: "disk (W_CASCADE/, W_MRL/) and deleting the code orphans those artifacts")	n/a (data file)	no-replacement, not superseded
automl_package/examples/capacity_ladder_results/W_CASCADE/w_cascade_summary_run1_plainNLL.json	results-file	KEEP	Distinct experimental condition (run 1, plain loss, vs the final run's beta-NLL), explicitly named/cited in docs/width_dial_synthesis_2026-07-13/per_input_width_architecture_readthrough.md as "Frozen residual cascade (run 1, plain loss)" -- NOT a discarded/incomplete artifact, a deliberately-retained alternate condition. Same PROTECTED umbrella as its directory-mate.	-	PROTECTED (via producer, as above)	CITED (per_input_width_architecture_readthrough.md names this exact file; flexnn-package.md cites the directory)	n/a (data file)	no-replacement, not superseded
automl_package/examples/capacity_ladder_results/W_CONVERGED/w_converged_summary.json	results-file	KEEP	Actively read as ground truth (W_CONVERGED_PATH in width_wsel4.py, _ANCHOR_PATH in cascade_width_experiment.py). Cited directly in width.md.	-	not-protected (dir not in PROTECTED.tsv path column; the file is nonetheless load-bearing, see c3/c4)	CITED (width.md: `w_converged_summary.json` literal citation)	READ-BY (width_wsel4.py W_CONVERGED_PATH, cascade_width_experiment.py _ANCHOR_PATH -- both genuine runtime reads of this exact path)	no-replacement, not superseded -- it IS the reference other code reads
automl_package/examples/capacity_ladder_results/W_INDEP/w_indep_summary.json	results-file	KEEP (near-miss, see headstone finding)	Certified INDEPENDENT-arm reference now lives in W_KDROPOUT_CONVERGED/w_kdropout_converged_summary_independent_mse.json (read by width_wsel16.py:157 for its halt condition). This file's own literal path/filename is cited in NO live plan file. c1/c3/c4 support DELETE-ELIGIBLE; the directory NAME "W_INDEP" is discussed (as a disposal candidate) only in zero-caller-inventory.md -- same headstone finding as its producer script. Flagged for the root's Step-7 judgement.	W_KDROPOUT_CONVERGED/w_kdropout_converged_summary_independent_mse.json (certified) or W_CONVERGED/w_converged_summary.json (direct successor protocol)	not-protected	the literal filename w_indep_summary.json is cited nowhere; the directory name W_INDEP is discussed only in zero-caller-inventory.md (disposal-candidate audit, not a live dependency)	no code reads w_indep_summary.json except its own producer's write (`independent_width_experiment.py:276`)	SUPERSEDED -- see replacement column
automl_package/examples/capacity_ladder_results/W_KDROPOUT_CONVERGED	results-dir (51 json)	KEEP	GATE EVIDENCE by rule -- backs the G-WIDTH certification (docs/width_mse_2026-07-16/verdict_variable_width_mse.md) and is the halt-condition/reference target for WSEL-16 and others. Never a deletion candidate.	-	PROTECTED (producer scripts sinc_width_experiment.py and nested_width_net.py both cite this exact dir as their certified-artifact-dir)	CITED (width.md, width-cert.md, fp5-stale-reference-finding.md, flexnn-package.md, fp4-schedule-deviation.md)	READ-BY (width_wsel16.py, tests/test_width_schedule_bunching.py, kdropout_converged_width_experiment.py's own RESULTS_DIR)	no-replacement, not superseded -- it IS the gate evidence
automl_package/examples/capacity_ladder_results/W_MRL/w_mrl_summary.json	results-file	KEEP	The completed matryoshka run (max_epochs_cap=120000). Cited by name in docs/width_dial_synthesis_2026-07-13/per_input_width_architecture_readthrough.md. PROTECTED via producer.	-	PROTECTED (via producer matryoshka_width_net.py *)	CITED (per_input_width_architecture_readthrough.md names this file; flexnn-package.md cites the directory)	n/a (data file)	no-replacement, not superseded
automl_package/examples/capacity_ladder_results/W_MRL/w_mrl_summary_run1_partial.json	results-file	KEEP (near-miss, see headstone finding)	"partial" in its own filename: max_epochs_cap=40000 vs the completed w_mrl_summary.json's 120000, same directory. Cited nowhere by this exact filename (grep for "run1_partial": zero hits anywhere in the repo). c1/c3 support DELETE-ELIGIBLE; c4's replacement is its own directory-mate; c2 is genuinely clean (no zero-caller-inventory.md mention of this specific file either, unlike the two rows above) -- the ONLY thing blocking a clean DELETE-ELIGIBLE call is that PROTECTED.tsv/flexnn-package.md protect the W_MRL DIRECTORY as a whole (via the producer script row), and neither names this specific leaf file as excluded from that umbrella. Flagged for the root's Step-7 judgement as the single cleanest deletion candidate in this corpus.	w_mrl_summary.json (same directory, completed run)	not-protected (as a specific filename; the directory it lives in is protected via its producer)	NOT CITED anywhere by this exact filename (verified: zero hits repo-wide for "run1_partial")	no code reads w_mrl_summary_run1_partial.json (verified: zero hits repo-wide except this manifest)	SUPERSEDED -- w_mrl_summary.json, same directory, is the completed run
automl_package/examples/capacity_ladder_results/WSEL4	results-dir (145 json)	KEEP	Current, live cell grid for WSEL-4 (DONE). Cited in width.md.	-	not-protected	CITED (width.md)	READ-BY (width_wsel4.py's own RESULTS_DIR; width_wsel6.py/width_wsel8.py replay PORTED_* constants from it)	no-replacement, not superseded -- IS the current record
automl_package/examples/capacity_ladder_results/WSEL6	results-dir (198 json)	KEEP	Current, live cell grid for WSEL-6 (ANSWERED). Cited in width.md and MASTER.md.	-	not-protected	CITED (width.md, MASTER.md)	READ-BY (width_wsel8.py: WSEL6_FROZEN_PATH)	no-replacement, not superseded -- IS the current record
automl_package/examples/capacity_ladder_results/WSEL6_RERUN_ROUTER	results-dir (31 json)	KEEP	The §3.5-mandated router re-run at WSEL-7's new_default (DONE 2026-07-22). Cited in width.md.	-	not-protected	CITED (width.md)	n/a (data files; no code reads this dir by literal path at execution time)	no-replacement, not superseded -- IS the current record
automl_package/examples/capacity_ladder_results/WSEL7	results-dir (85 json)	KEEP	Current, live cell grid for WSEL-7 (ANSWERED, noise caveat pending). Cited in width.md.	-	not-protected	CITED (width.md)	READ-BY (width_wsel7.py's own RESULTS_DIR)	no-replacement, not superseded -- IS the current record
automl_package/examples/capacity_ladder_results/WSEL8	results-dir (81 json)	KEEP	Current, live cell grid for WSEL-8 (ANSWERED, BOTH HALVES FAIL). Cited in width.md.	-	not-protected	CITED (width.md)	READ-BY (width_wsel8.py's own RESULTS_DIR)	no-replacement, not superseded -- IS the current record
automl_package/examples/capacity_ladder_results/WSEL11 (top-level, 7 json)	results-dir	KEEP	The DISCARDED first run (forbidden-objective, variance-fitting). width.md's own text: "retained as case law" -- an EXPLICIT keep instruction, not merely a failed mechanical check.	rerun/ subdirectory (the corrected run, see next row)	not-protected	CITED (width.md: "The original run remains VOID -- see the discard notice below, retained as case law")	n/a (data files)	SUPERSEDED IN SUBSTANCE by rerun/, but explicitly retained anyway (width.md's own instruction overrides c4's usual delete-eligible consequence)
automl_package/examples/capacity_ladder_results/WSEL11/rerun (10 json)	results-dir	KEEP	The corrected re-run at the fixed-sigma objective (RE-RUN COMPLETE 2026-07-21, verdict: selection does not move). The live, citable verdict.	-	not-protected	CITED (width.md)	READ-BY (width_wsel11.py's own RESULTS_DIR)	no-replacement, not superseded -- IS the current record
automl_package/examples/capacity_ladder_results/WSEL13	results-dir (10 json)	KEEP	Current, live cell grid for WSEL-13 (ANSWERED: ordering_holds=false). Cited in width.md and shared/width_transformer_port.md.	-	not-protected	CITED (width.md, width_transformer_port.md)	READ-BY (width_wsel13.py's own RESULTS_DIR)	no-replacement, not superseded -- IS the current record
automl_package/examples/capacity_ladder_results/WSEL14	results-dir (22 json)	KEEP	Current, live cell grid for WSEL-14. Cited in width.md and fp4-schedule-deviation.md.	-	not-protected	CITED (width.md, fp4-schedule-deviation.md)	n/a (data files; cost_probe/profile_all_schedule.py under this dir is its own script, not a JSON consumer of it)	no-replacement, not superseded -- IS the current record
automl_package/examples/capacity_ladder_results/WSEL15	results-dir (10 json)	KEEP	Current, live cell grid for WSEL-15. Cited in width.md.	-	not-protected	CITED (width.md)	READ-BY (width_wsel15.py's own RESULTS_DIR)	no-replacement, not superseded -- IS the current record
automl_package/examples/capacity_ladder_results/WSEL15_ALLSCHED	results-dir (14 json)	KEEP	The ALL-schedule follow-up grid. Cited in width.md.	-	not-protected	CITED (width.md)	READ-BY (width_wsel15.py: _ALLSCHED_RESULTS_DIR)	no-replacement, not superseded -- IS the current record
automl_package/examples/capacity_ladder_results/WSEL16	results-dir (41 json)	KEEP	This task's own upstream dependency: frozen.json's stage1_winner=b_heads is what Step 2 (below) reads. Cited in width.md and fp4-schedule-deviation.md.	-	not-protected	CITED (width.md, fp4-schedule-deviation.md)	READ-BY (width_wsel16.py's own RESULTS_DIR; REVIEW_2026-07-22 scripts; width_wsel8.py: WSEL4_RESULTS_DIR sibling reads)	no-replacement, not superseded -- IS the current record
automl_package/examples/capacity_ladder_results/WSEL18	results-dir (1 json)	KEEP	Current, live result for WSEL-18 (DONE, benchmark outcome MIXED). Cited in width.md.	-	not-protected	CITED (width.md)	n/a (data file)	no-replacement, not superseded -- IS the current record
#
# ============================== STEP 2 -- PROMOTION OUTCOME ==============================
# WSEL-16's frozen.json (automl_package/examples/capacity_ladder_results/WSEL16/frozen.json):
# stage1_winner = "b_heads", stage2_required = true, but "stage2 winner: NONE -- stage1_winner =
# b_heads stands" (width.md ~2061-2063). B_HEADS IS SharedTrunkPerWidthHeadNet, already the
# certified package class. Per width.md's own Step-2 text ("If B_HEADS won, promote nothing and
# record that."): NOTHING IS PROMOTED this task. width_candidates.py is unchanged by Step 2.
#
# ============================== ROW COUNTS BY VERDICT ====================================
# KEEP: 41   SHIM: 2   DELETE-ELIGIBLE: 0 (three near-misses flagged above, blocked by a single
# mechanical check each -- see the HEADSTONE FINDING in the header and each row's own reason).
